movie,recommendations
An Egyptian Story,"Destiny, The Emigrant, The International Player, The Blazing Sun, The Dealer, The Right One, The Player, Raya and Sakina, The Gospel of Mark, More to Say"
Strange Voices,"Voices of Fire, Aussie Gold Hunters, An Interview with God, Spelling the Dream, The Good Place, Kid Cosmic, #Roxy, I Am Me!, Father Brown, Father Brown"
Baahubali 2: The Conclusion (Hindi Version),"Baahubali: The Beginning (English Version), Baahubali: The Beginning (English Version), Abhinetri, Game Over (Tamil Version), Thaandavam, Mersal, This Evening, Comedy High School, Trolls: The Beat Goes On!, Sarvam Thaala Mayam (Telugu Version)"
The Bridge,"1-Oct, Phone Swap, Okafor's Law, Couple of Days, Ken Jeong: You Complete Me Ho, The Mystic River, The Mystic River, The Governor, Finding Hubby, Zig & Sharko"
Yo-Kai Watch: The Movie,"Cyborg 009 VS Devilman, Minecraft: Story Mode, Yasuke, Durarara!!, Durarara!!, Durarara!!, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, Jungle Beat: The Movie, Say I Do, American Crime"
Sparring,"Sparring, Haywire, Searching for Sugar Man, Earth's Natural Wonders, You Can Tutu, Elite Short Stories: Carla Samuel, Penny Dreadful, Penny Dreadful, Comedy Premium League, Comedy Premium League"
Gameboys Level-Up Edition,"Gameboys Level-Up Edition, A Faraway Land, The Final Table, V Wars, Glowing Embers, A Very Country Christmas, Here and There, Bondi Rescue, Inspector Gadget, Inspector Gadget"
Into the Wild,"The Autopsy of Jane Doe, The Autopsy of Jane Doe, Lovesong, Twilight, Homemade, Puss in Boots, Heartbreakers, Wild Wild Country, Cabins in the Wild with Dick Strawbridge, Minecraft: Story Mode"
Catch.er,"Catch.er, New Money, Finding Hubby, When Love Happens, Potato Potahto, The Big Catch, Lost in London, Couple of Days, Not Alone, I Will Follow"
The Gospel of Mark,"The Emigrant, The Right One, Destiny, An Egyptian Story, The International Player, Tayee, Secret of the Nile, The Blazing Sun, More to Say, Tango"
Ginny & Georgia,"Ginny & Georgia, Martin Matte: La vie la mort...eh la la..!, Time Trap, Time Trap, Prom Night, Locke & Key, Locke & Key, Bobby Kennedy for President, Camelia la Texana, Unrest"
Melodies of Life - Born This Way,"Melodies of Life - Born This Way, The Liar, NATURE: Natural Born Hustlers, Life Sentence, Dancing Queen, One-Way to Tomorrow, My Life My Story, My Life My Story, A Heavy Heart, Life 2.0"
Downton Abbey,"Kevin James: Never Don't Give Up, Selfless, The Crown, W.E., Bureau of Magical Things, Jesus: Countdown to Calvary, Once Upon a Time in America, Once Upon a Time in America, Sam Smith: Love Goes - Live at Abbey Road Studios, Inkheart"
The Bible's Buried Secrets,"Top 10 Secrets and Mysteries, My Perfect Landing, Kung Fu Panda: Secrets of the Scroll, The Innocence Files, Katt Williams: The Pimp Chronicles: Pt. 1, Under the Eiffel Tower, Inside the Mind of a Serial Killer, The Space Between Us, The Space Between Us, Love Death & Robots"
Nate Bargatze: The Tennessee Kid,"Tracy Morgan: Staying Alive, Get Smart, Shelter, Iliza Shlesinger: Freezing Hot, Kid Cosmic, My Dead Ex, The Bare-Footed Kid, 72 Dangerous Places to Live, The Crow, Osmosis Jones"
Move,"Ratched, Ratched, Ratched, Danger Mouse: Classic Collection, American Horror Story, Daniel Sloss: Live Shows, The Outsiders, Chef's Table, Magnetic, Da 5 Bloods"
Cyborg 009 VS Devilman,"Vampire Knight, Durarara!!, Durarara!!, Durarara!!, Naruto Shippuden: The Movie: The Lost Tower, Naruto Shippuden: The Movie: The Lost Tower, Yo-Kai Watch: The Movie, Black Butler, Black Butler, Yasuke"
Marcella,"V for Vendetta, Red Dawn, Revenge of the Green Dragons, Jack Whitehall: Christmas with My Father, A Series of Unfortunate Events, The Heretics, Kon Kon Kon, Vexed, Vexed, Postcards from London"
Bring It On Ghost,"Running Man, Running Man, Racket Boys, Itaewon Class, Bread Barbershop, Crash Landing on You, It's Okay to Not Be Okay, It's Okay to Not Be Okay, Iris, The 8th Night"
High Flying Bird,"High Flying Bird, Wolves, Wolves, American Horror Story, Tallulah, Star Trek, NOVA: Bird Brain, Haywire, MeatEater, Monty Python's Flying Circus"
Beating Again,"Beating Again, My Only Love Song, A Love So Beautiful, Man to Man, Cheese in the Trap, Crash Landing on You, The 8th Night, Svaha: The Sixth Finger, Another Miss Oh, Another Miss Oh"
Audible,"Rust Valley Restorers, Rust Valley Restorers, Star-Crossed, The Talented Mr. Ripley, Man with a Plan, Safe, The Ice Road, Evil Genius, Dexter, Little Miss Sumo"
Doctor Foster,"Crimson Peak, Joseph: King of Dreams, The Natural, Full Count, Christmas Inheritance, The Other Side of the Wind, Faith Hope & Love, Ask the Doctor, Sleepover, Backcountry"
Dating Around: Brazil,"Rock My Heart, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow, Midnight Sun"
Cable Girls,"Cable Girls, Off Course, The Idhun Chronicles, The Idhun Chronicles, Death Can Wait, Death Can Wait, Death Can Wait, Vientos de agua, The Influence, Undercover Law"
Crashing,"Bridgerton, Running Shaadi, Fit for Fashion, Shubh Aarambh, Chalte Chalte, Chalte Chalte, The Outsiders, Chamatkar, Chamatkar, The Dragon Prince"
That '70s Show,"That '70s Show, That '70s Show, The Ranch, From Dusk Till Dawn, The Adderall Diaries, Monty Don's Italian Gardens, Monty Don's Italian Gardens, Monty Don's French Gardens, The Book of Eli, Jupiter Ascending"
Secret Affair,"Secret Affair, Rampant, Rugal, Crash Landing on You, The 8th Night, Mystic Pop-up Bar, It's Okay to Not Be Okay, It's Okay to Not Be Okay, Itaewon Class, Iris"
Taken,"War on Everyone, Kevin James: Never Don't Give Up, The Last Exorcism, Namastey London, James Acaster: Repertoire, World's Most Wanted, World's Most Wanted, Not a Game, Ready to Mingle, The Book of Eli"
Hap and Leonard,"Diagnosis, Sweet Tooth, Sweet Tooth, Bloodline, Sturgill Simpson Presents Sound & Fury, She's the One, Love Death & Robots, Dexter, Voices of Fire, Marriage or Mortgage"
Freud,"Freud, The Natural, Star Trek: Voyager, Edge of Fear, Ancient Aliens, Ancient Aliens, Ancient Aliens, Top 10 Secrets and Mysteries, The Monster, Faith Hope & Love"
Godzilla Singular Point,"Godzilla Singular Point, Godzilla Singular Point, EDENS ZERO, Fullmetal Alchemist, Fate/Grand Order -First Order-, JoJo's Bizarre Adventure, Godzilla, Ninja Hattori, 忍者ハットリくん, GODZILLA The Planet Eater"
The Crying Game,"Blown Away, V for Vendetta, Platoon, Not a Game, Battlefield Recovery, Battlefield Recovery, Benji: Off the Leash, Cloud Atlas, Boi, The Prince & Me"
Terrorism Close Calls,"Terrorism Close Calls, Monty Don's Italian Gardens, Monty Don's Italian Gardens, Monty Don's French Gardens, The Natural, The IT Crowd, Don't be the First one, Don't be the First one, RIDE ON TIME, Congo"
Outside In,"Sword of Trust, Nurse Jackie, Marc Maron: End Times Fun, The Chair, Killer Inside: The Mind of Aaron Hernandez, Creep 2, Creep 2, The Healer, Happy Anniversary, Age of Tanks"
Tallulah,"Into the Forest, High Flying Bird, High Flying Bird, Star Trek, Mr. Peabody & Sherman, Lucky Days, Brave New Jersey, Dexter, Big Stone Gap, The Princess and the Frog"
Sweet Virginia,"Chris Tucker Live, We Are Your Friends, Homemade, The Sinner, Inside The Freemasons, L.A.’s Finest, L.A.’s Finest, It Comes at Night, Strong, Ratched"
Bulbbul,"Shonar Pahar, The Blue Umbrella, Ghost Stories, Jalpari: The Desert Mermaid, The Sky Is Pink, The Sky Is Pink, Abby Sen, Gollu Aur Pappu, Midnight Mass, Jagga Jasoos"
The Woods,"Son of a Gun, Wrong Kind of Black, 1983, Medium, Hungerford, A Week Away, Once Upon a Time in America, Once Upon a Time in America, Mortal Kombat, Santa Clarita Diet"
Below Her Mouth,"V for Vendetta, Say I Do, W.E., XX, The Next Step, The Next Step, The Next Step, The Next Step, Sky Tour: The Movie, Two Lovers and a Bear"
Leyla and Mecnun,"Leyla and Mecnun, Kara Bela, Brother in Love, Rise of Empires: Ottoman, 50M2, Wolf, Wolf, 46, Resurrection: Ertugrul, Black Money Love"
Jalpari: The Desert Mermaid,"Shonar Pahar, Panipat - The Great Betrayal, Shubh Aarambh, Bathinda Express, Shikara, Bulbbul, Ugly, Sardar Ka Grandson, The Blue Umbrella, Main Hoon Na"
Club de Cuervos Presents: The Ballad of Hugo Sánchez,"Club de Cuervos Presents: The Ballad of Hugo Sánchez, Fugitiva, La ley de Herodes, The Aerial, Suburra: Blood on Rome, La Viuda Negra, The Incident, Heist, Dad Wanted, Crime Diaries: The Candidate"
Cathedral of the Sea,"Cathedral of the Sea, Everything Will Be Fine, The Influence, Holy Goalie, Natalia Valdebenito: El especial, Aziz Ansari Live at Madison Square Garden, Aziz Ansari: RIGHT NOW, Aziz Ansari: RIGHT NOW, The Tree of Blood, El Barco"
Peaky Blinders,"Peaky Blinders, The Sons of Sam: A Descent into Darkness, Loaded, Hot Date, Hot Date, Rocko's Modern Life: Static Cling, The Foreigner, Stranger Things, Stranger Things, The Golden Child"
Weird Wonders of the World,"Nature's Weirdest Events, Nature's Weirdest Events, Earth's Natural Wonders, Chris Brown: Welcome to My Life, Genius of the Ancient World, Chris Tucker Live, Diana: 7 Days That Shook the World, Shiva: The Secret World Of Vedas City, The World's Most Extraordinary Homes, Dream Big: Engineering Our World"
Resort to Love,"Pawn Stars, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, Falling Inn Love, Falling Inn Love, Liefling, Strike a Pose, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth, The Repair Shop"
Katla,"Guillermo Vilas: Settling the Score, Zero Chill, Zero Chill, Shelter, Fallet, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap"
Dance Academy,"Tim Minchin: So F**king Rock, The Umbrella Academy, Spirit Riding Free: Riding Academy, 1 Mile to You, Tinker Bell and the Legend of the NeverBeast, The Hunt, Ken Burns: The Roosevelts: An Intimate History, Mariah Carey's Merriest Christmas, Alexa & Katie, Alexa & Katie"
Camarón Revolution,"Alejandro Sanz: What I Was Is What I Am, Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Martin Matte: La vie la mort...eh la la..!, Las muñecas de la mafia, LEGO Jurassic World: Legend of Isla Nublar, La Reina del Sur, El Cartel, Monarca, Sin senos no hay paraíso"
Eggnoid: Love & Time Portal,"Tracy Morgan: Staying Alive, Mexicanos de Bronce, When Love Happens, Kevin James: Never Don't Give Up, XX, Learning Time with Timmy, Derek, No Time for Shame, Time to Dance, Time to Dance"
Deep Undercover Collection,"Bathinda Express, Danger Mouse: Classic Collection, Heavy Rescue: 401, Undercover, Undercover Law, Tip the Mouse, Love Now, Drink Drank Drunk, Star Trek: Deep Space Nine, Star Trek: Deep Space Nine"
Men on a Mission,"Iris, Man to Man, Racket Boys, Bring It On Ghost, The 8th Night, It's Okay to Not Be Okay, It's Okay to Not Be Okay, My Sassy Girl, Law School, The Lady in Dignity"
I Am Me!,"The Least Expected Day: Inside the Movistar Team 2019, Los Herederos, Penalty Kick, Made in Mexico, Made in Mexico, Monarca, Narcoworld: Dope Stories, Vientos de agua, The Blind Christ, Nacho Libre"
Crime Diaries: The Candidate,"La Reina del Sur, Brotherhood, Brotherhood, Brotherhood, Elite Short Stories: Omar Ander Alexis, Heist, Señora Acero, Taco Chronicles, Apaches, Apaches"
Titipo Titipo,"Titipo Titipo, Bread Barbershop, Running Man, Running Man, Bring It On Ghost, Vroomiz, Racket Boys, Arthdal Chronicles, It's Okay to Not Be Okay, It's Okay to Not Be Okay"
Beirut Oh Beirut,"Beirut Oh Beirut, Beirut Oh Beirut, Grandmother's Farm Part 2, Grandmother's Farm Part 2, Grandmother's Farm, The Dealer, Hajwala 2: Mysterious Mission, Valentino, Destiny, The Emigrant"
Crazy Ex-Girlfriend,"Crazy Ex-Girlfriend, Crazy Ex-Girlfriend, Boi, L.A.’s Finest, L.A.’s Finest, Strong, Raising Victor Vargas, Ex-Boyfriend, Ex-Boyfriend, Searching for Sugar Man"
Filinta,"Black Heart, Fatma, Gonul, Gonul, Pari, 50M2, Star Trek: Voyager, Romantik Komedi, Beynelmilel, The Protector"
Ezel,"Black Heart, Romantik Komedi, W.E., The Ottoman Lieutenant, Act of Vengeance, 50M2, Good Burger, Rise of Empires: Ottoman, Intersection, Winter Sun"
Hi Score Girl,"Hi Score Girl, JoJo's Bizarre Adventure, Sword Art Online Alternative: Gun Gale Online, The Irregular at Magic High School, CAROLE & TUESDAY, CAROLE & TUESDAY, ID-0, GODZILLA The Planet Eater, Godzilla, 7SEEDS"
Hidden Singer,"Rampant, Men on a Mission, The Bride of Habaek, Rugal, The Call, A Love So Beautiful, Itaewon Class, My Only Love Song, My Country: The New Age, Spark"
Angel Beats!,"Angel Beats!, Puella Magi Madoka Magica, Puella Magi Madoka Magica, CAROLE & TUESDAY, CAROLE & TUESDAY, Durarara!!, Durarara!!, Durarara!!, Parasyte: The Maxim, Parasyte: The Maxim"
Brotherhood,"Brotherhood, Brotherhood, Crime Diaries: The Candidate, Samson, Taylor Tomlinson: Quarter-Life Crisis, Q Ball, Heist, A Korean Odyssey, Time to Dance, Time to Dance"
Shooter,"The Final Destination, Tears of the Sun, The Unicorn, The Unicorn, Elite Short Stories: Omar Ander Alexis, Mine 9, My Dead Ex, Prince of Peoria, Sniper: Ghost Shooter, Dexter"
100 Days My Prince,"A Love So Beautiful, The K2, Save Me, Rugal, Record of Youth, Hometown Cha-Cha-Cha, Color of Woman, Arthdal Chronicles, It's Okay to Not Be Okay, It's Okay to Not Be Okay"
Natalia Valdebenito: El especial,"Coco y Raulito: Carrusel de ternura, Full Count, Cathedral of the Sea, Cathedral of the Sea, Drunk Parents, The Dealer, The spiral, Lady la vendedora de rosas, Lady la vendedora de rosas, Freshman Year"
Unchained Fate,"Unchained Fate, Unchained Fate, Secret of Success, Secret of Success, Yes We Can!, The Devil Punisher, The Devil Punisher, K.O.3an Guo, K.O.3an Guo, The Victims' Game"
Messiah,"Damnation, Myriam Fares: The Journey, Sweet Tooth, Sweet Tooth, Michelle Buteau: Welcome to Buteaupia, More to Say, Talladega Nights: The Ballad of Ricky Bobby, The Heartbreak Kid, The Dealer, Julie & Julia"
Martin Matte: La vie la mort...eh la la..!,"Club Friday To Be Continued - The Promise, Club Friday To Be Continued - The Promise, Club Friday To Be Continued - The Promise, Monarca, Camarón Revolution, Taco Chronicles, Ginny & Georgia, Ginny & Georgia, La Mante, Hemlock Grove"
Highway to Heaven,"Highway to Heaven, Albion: The Enchanted Stallion, Monty Don's French Gardens, Highway, Heaven Official's Blessing, Raising Victor Vargas, Big Fat Liar, The Golden Child, Jaws 2, My Daddy is in Heaven"
Halston,"Searching for Sugar Man, The Disaster Artist, Son of a Gun, Someone Great, Haywire, Bates Motel, White Girl, Mary Portas: Secret Shopper, White Christmas, The Sinner"
Diamond City,"Diamond City, Diamond City, Blood & Water, Shiva: The Secret World Of Vedas City, Diamond Lover, Backcountry, Yoko, City in the Sky, Idiotest, Idiotest"
The Final Table,"The Final Destination, Chef's Table, Chef's Table: BBQ, Bondi Rescue, Final Destination 2, Final Destination 2, Final Destination, A Beautiful Life, Chris Brown: Welcome to My Life, Revenge of the Green Dragons"
Motel Makeover,"Bates Motel, Aussie Gold Hunters, Dare to Be Wild, The Monster, Our House, Big Fat Liar, Die Ontwaking, Land Girls, Cyborg 009 VS Devilman, Race to Witch Mountain"
Revelations: The Masters of the Universe: Revelation Aftershow,"Revelations: The Masters of the Universe: Revelation Aftershow, Masters of the Universe: Revelation, Kevin James: Never Don't Give Up, He-Man and the Masters of the Universe, Trollhunters, Sam Smith: Love Goes - Live at Abbey Road Studios, The Dark Crystal: Age of Resistance, Walking Out, Just Friends, Kevin Hart: I'm a Grown Little Man"
Pawn Stars,"What Makes a Psychopath?, Paranoia, It Comes at Night, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Last Crusade, Resort to Love, Streets of Fire, Wandering Stars, Sahara"
Puella Magi Madoka Magica,"Puella Magi Madoka Magica, Angel Beats!, Angel Beats!, Toradora!, Black Butler, Black Butler, Ai Weiwei: Never Sorry, The Seven Deadly Sins, The Seven Deadly Sins, Nagi-Asu: A Lull in the Sea"
Japan Sinks: 2020,"Japan Sinks: 2020, Ingress: The Animation, GODZILLA The Planet Eater, Kuroko's Basketball, Kuroko's Basketball, JoJo's Bizarre Adventure, Naruto Shippuden : Blood Prison, Naruto Shippuden the Movie: Blood Prison, Naruto Shippuden the Movie: Blood Prison, Parasyte: The Maxim"
Strong,"L.A.’s Finest, L.A.’s Finest, Inspector Gadget, Inspector Gadget, Little Singham: Legend of Dugabakka, Crazy Ex-Girlfriend, Crazy Ex-Girlfriend, Crazy Ex-Girlfriend, Gnome Alone, Equestria Girls: Tales of Canterlot High"
Durarara!!,"Durarara!!, Durarara!!, Godzilla, The Seven Deadly Sins, The Seven Deadly Sins, GODZILLA The Planet Eater, Vampire Knight, Angel Beats!, Angel Beats!, Black Butler"
Chef's Table: BBQ,"Chef's Table, The Final Table, Children of Adam, Alien Warfare, Bosta, Danger Mouse: Classic Collection, Dark Tourist, Dark Tourist, Marriage or Mortgage, Inspector Gadget"
Love on the Spectrum,"Love on the Spectrum, Age Gap Love, 4th Man Out, Russian Doll, Russian Doll, Sweet Magnolias, The Shannara Chronicles, Love Rhythms - Accidental Daddy, Love You... Love You Not, Love for Ten: Generation of Youth"
Magic for Humans,"Latte and the Magic Waterstone, Motown Magic, Motown Magic, Dancing Queen, Magic Snowflake, Hometown Holiday, Haunted, The Irregular at Magic High School, A Very Country Christmas, Dramaworld"
Buddi,"The Outlaw Josey Wales, Russian Doll, Russian Doll, Once a Gangster, Ginny & Georgia, Ginny & Georgia, Drink Drank Drunk, Billy Graham: An Extraordinary Journey, Elisa & Marcela, A.D. Kingdom and Empire"
Alice in Borderland,"High & Low The Movie 2 / End of Sky, NiNoKuni, Erased, Erased, Atelier, The Seven Deadly Sins, The Seven Deadly Sins, Seven Souls in the Skull Castle 2011, SCAMS, Fate/Zero"
